time,open,high,low,close,volume
2010-04-13,52.78,52.82,52.08,52.46,4530041.0
2010-04-14,52.09,52.09,50.8,51.3,12733631.0
2010-04-19,50.55,51.44,50.55,51.35,5752535.0
2010-04-20,51.48,53.91,51.16,51.92,6882914.0
2010-04-21,51.97,52.87,51.8,51.99,6567891.0
2010-04-22,50.38,51.32,50.08,51.24,10074781.0
2010-04-23,51.18,51.23,50.6,51.14,6443857.0
2010-04-26,51.04,51.14,50.06,50.13,7793763.0
2010-04-27,50.01,50.07,48.22,48.44,12073096.0
2010-04-28,48.67,49.34,48.53,49.09,9074759.0
2010-04-29,49.45,50.3,49.33,49.58,7813219.0
2010-04-30,49.47,49.81,49.02,49.08,6884731.0
2010-05-03,49.32,49.68,49.15,49.42,6478837.0
2010-05-04,49.01,49.75,48.86,49.0,9970853.0
2010-05-05,48.89,49.55,48.5,48.71,7488762.0
2010-05-06,48.58,48.92,2.0,47.0,16446256.0
2010-05-07,46.14,47.0,45.92,46.42,14566105.0
2010-05-10,47.91,49.04,47.7,48.35,9696115.0
2010-05-11,47.74,48.63,47.74,48.35,8920248.0
2010-05-12,47.93,48.31,47.52,47.99,8472670.0
2010-05-13,47.86,48.19,47.31,47.36,6589452.0
2010-05-14,47.27,47.47,46.29,46.56,10548866.0
2010-05-17,46.6,46.83,45.89,46.25,9055896.0
2010-05-18,46.44,46.76,45.37,45.56,10408402.0
2010-05-19,45.37,46.52,45.1,46.26,11025838.0
2010-05-20,45.47,45.92,44.49,44.55,13065868.0
2010-05-21,43.9,44.71,43.38,44.26,16036361.0
2010-05-24,44.04,44.72,43.57,44.3,12666909.0
2010-05-25,43.6,43.92,42.97,43.72,15884798.0
2010-05-26,43.85,44.56,43.55,43.7,14552974.0
2010-05-27,44.23,44.79,44.09,44.7,11519305.0
2010-05-28,44.76,44.8,44.02,44.12,14109018.0
2010-06-01,43.77,44.59,43.51,43.97,9159520.0
2010-06-02,44.04,45.06,44.04,45.05,9574170.0
2010-06-03,45.06,45.36,44.69,45.02,6411140.0
2010-06-04,44.57,44.75,43.51,43.74,11855238.0
2010-06-07,43.72,44.25,43.07,43.17,10513257.0
2010-06-08,43.13,43.77,42.94,43.73,11985205.0
2010-06-09,43.98,45.14,43.78,44.15,11068671.0
2010-06-10,44.59,45.58,44.59,45.11,9971141.0
2010-06-11,44.84,44.94,43.09,44.35,15483901.0
2010-06-14,44.61,45.95,44.61,45.57,11377436.0
2010-06-15,46.22,46.22,45.47,45.56,9102592.0
2010-06-16,45.39,45.78,45.13,45.55,6199454.0
2010-06-17,45.78,45.96,45.34,45.6,7420708.0
2010-06-18,45.67,46.28,45.6,45.91,13155325.0
2010-06-21,46.28,46.64,45.93,46.29,10564000.0
