filtered,baseline
1.0,1.2658086177951875
1.0,1.2590934527140458
1.0,1.0912143256855065
1.0,1.0772243984331282
1.0,0.9932848349188584
1.0,1.021264689423615
1.0,1.0632344711807498
1.0,1.0772243984331282
1.0,1.1119194180190264
1.0,1.1052042529378847
1.0,1.0912143256855065
1.0,1.0772243984331282
1.0,1.195858981533296
1.0,1.2031337437045326
1.0,1.1471740346950197
1.0,1.0912143256855065
1.0,1.0772243984331282
1.0,1.0912143256855065
1.0,1.0632344711807498
1.0,1.1052042529378847
1.0,1.161163961947398
1.0,1.1818690542809178
1.0,1.2451035254616676
1.0,1.1891438164521544
1.0,1.1471740346950197
1.0,1.161163961947398
1.0,1.161163961947398
1.0,1.1331841074426412
1.0,1.0839395635142697
1.0,1.0632344711807498
1.0,1.0632344711807498
1.0,1.0772243984331282
1.0,1.0772243984331282
1.0,1.1052042529378847
1.0,1.119194180190263
1.0,1.217123670956911
1.0,1.1751538891997761
1.0,1.1751538891997761
1.0,1.1331841074426412
1.0,1.1471740346950197
1.0,1.2031337437045326
1.0,1.2518186905428093
1.0,1.273083379966424
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
