comparison,metric_col,n,mean,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_stat,wilcoxon_pvalue
model_vs_base_sharpe,delta_sharpe_model_vs_base,6,-0.15099896643985372,-0.47919350522292353,0.0410330410865569,3.0,0.4652088184521418
xgb_vs_base_sharpe,delta_sharpe_xgb_vs_base,6,-0.21101585888275873,-0.5263295017130226,0.0,0.0,0.17971249487899976
model_vs_base_mdd,mdd_improve_model_vs_base,6,0.0950862177193113,0.03006283234842734,0.16586097818242676,0.0,0.06788915486182899
xgb_vs_base_mdd,mdd_improve_xgb_vs_base,6,0.016342196897752456,0.0,0.049026590693257356,0.0,0.31731050786291415
model_vs_base_return,delta_return_model_vs_base,6,-0.356713751188288,-0.6955789508698148,-0.037364732753421635,0.0,0.06788915486182899
xgb_vs_base_return,delta_return_xgb_vs_base,6,-0.20839203297407252,-0.5154306344983297,0.0,0.0,0.17971249487899976
model_vs_xgb_sharpe,delta_sharpe_model_vs_xgb,6,0.060016892442905,-0.01244608195505544,0.16434461415001947,1.0,0.28504940740261275
model_vs_xgb_mdd,mdd_improve_model_vs_xgb,6,0.07874402082155885,0.013720635450674886,0.16012902774377516,0.0,0.10880943004054569
model_vs_xgb_return,delta_return_model_vs_xgb,6,-0.14832171821421547,-0.5084216105597321,0.10940491237564913,2.0,0.5929800980174267
