code,time,close,raw_signal,is_test_signal,equity_model,return_model,equity_signal,return_signal,equity_xgb_tb,return_xgb_tb,equity_buy_hold,return_buy_hold,seed,cost_bps
TSLA,2022-12-30,123.18,buy,True,1.0,0.0,0.998,-0.0020000000000000018,0.998,-0.0020000000000000018,0.996004,-0.0039959999999999996,42,20
TSLA,2023-01-03,108.1,none,False,1.0,0.0,0.8758223737619742,-0.12417762623802575,0.8758223737619742,-0.12417762623802575,0.8740707290144503,-0.12592927098554973,42,20
TSLA,2023-01-04,113.64,none,False,1.0,0.0,0.9207072576716999,-0.07929274232830008,0.9207072576716999,-0.07929274232830008,0.9188658431563566,-0.08113415684364345,42,20
TSLA,2023-01-05,110.34,none,False,1.0,0.0,0.8939707744763761,-0.10602922552362393,0.8939707744763761,-0.10602922552362393,0.8921828329274233,-0.10781716707257671,42,20
TSLA,2023-01-06,113.06,none,False,1.0,0.0,0.9160081182010067,-0.0839918817989933,0.9160081182010067,-0.0839918817989933,0.9141761019646046,-0.08582389803539536,42,20
TSLA,2023-01-09,119.77,none,False,1.0,0.0,0.9703723006981653,-0.02962769930183473,0.9703723006981653,-0.02962769930183473,0.9684315560967689,-0.0315684439032311,42,20
TSLA,2023-01-10,118.85,none,False,1.0,0.0,0.9629184932618932,-0.03708150673810684,0.9629184932618932,-0.03708150673810684,0.9609926562753693,-0.03900734372463066,42,20
TSLA,2023-01-11,123.22,none,False,1.0,0.0,0.9983240785841857,-0.0016759214158142965,0.9983240785841857,-0.0016759214158142965,0.9963274304270173,-0.0036725695729826757,42,20
TSLA,2023-01-12,123.56,none,False,1.0,0.0,1.0010787465497646,0.0010787465497645865,1.0010787465497646,0.0010787465497645865,0.9990765890566649,-0.0009234109433351456,42,20
TSLA,2023-01-13,122.4,none,False,1.0,0.0,0.991680467608378,-0.008319532391621975,0.991680467608378,-0.008319532391621975,0.9896971066731612,-0.010302893326838758,42,20
TSLA,2023-01-17,131.49,none,False,1.0,0.0,1.0653273258645886,0.06532732586458856,1.0653273258645886,0.06532732586458856,1.063196671212859,0.0631966712128591,42,20
TSLA,2023-01-18,128.78,none,False,1.0,0.0,1.0433710017860043,0.04337100178600428,1.0433710017860043,0.04337100178600428,1.0412842597824323,0.04128425978243233,42,20
TSLA,2023-01-19,127.17,none,False,1.0,0.0,1.030326838772528,0.030326838772527953,1.030326838772528,0.030326838772527953,1.0282661850949828,0.0282661850949828,42,20
TSLA,2023-01-20,133.42,none,False,1.0,0.0,1.0809641175515505,0.08096411755155053,1.0809641175515505,0.08096411755155053,1.0788021893164472,0.07880218931644722,42,20
TSLA,2023-01-23,143.75,none,False,1.0,0.0,1.164657411917519,0.16465741191751904,1.164657411917519,0.16465741191751904,1.162328097093684,0.162328097093684,42,20
TSLA,2023-01-24,143.89,none,False,1.0,0.0,1.1657916869621692,0.16579168696216917,1.1657916869621692,0.16579168696216917,1.1634601035882448,0.1634601035882448,42,20
TSLA,2023-01-25,144.43,none,False,1.0,0.0,1.1701667478486768,0.1701667478486768,1.1701667478486768,0.1701667478486768,1.1678264143529795,0.1678264143529795,42,20
